FISH,LAB_ID,TREATMENT,SAMPLE_DATE,SPECIES,TISSUE,SAMPLE_WEIGHT,VENLA_ng_g,DESVENLA_ng_g,FLX_ng_g,SERTRA_ng_g,NOSERTRA_ng_g
52,131,Exposed,24/9/2022,Perch,L,0.116,21,<LOQ,28.5,21,13.2
52,132,Exposed,24/9/2022,Perch,B,0.185,3.1,<LOQ,5.6,13.6,7.4
53,133,Exposed,24/9/2022,Perch,M,0.116,1,0,0.9,1.9,1
53,134,Exposed,24/9/2022,Perch,L,0.118,11.1,<LOQ,12.9,19.5,12.6
53,135,Exposed,24/9/2022,Perch,B,0.106,3.3,0.1,10.3,26.9,15.2
54,136,Exposed,24/9/2022,Perch,M,0.116,1.4,0.1,1.8,3.5,1.8
54,137,Exposed,24/9/2022,Perch,L,0.095,37.1,0.3,40.6,63.3,39.9
54,138,Exposed,24/9/2022,Perch,B,0.075,11.5,<LOQ,19.4,61,33.7
55,139,Exposed,24/10/2022,Perch,M,0.109,0.6,<LOQ,0.3,0.3,0.3
55,140,Exposed,24/10/2022,Perch,L,0.106,22.3,<LOQ,5.8,2.5,1.8
55,141,Exposed,24/10/2022,Perch,B,0.13,6.8,0.1,3.3,3.6,4.3
56,142,Exposed,24/10/2022,Perch,M,0.099,1.3,0.1,1.3,0.7,0.5
56,143,Exposed,24/10/2022,Perch,L,0.096,16.6,0.2,26.9,7.4,7.3
56,144,Exposed,24/10/2022,Perch,B,0.078,6.7,0.1,13,8.7,9.6
57,145,Exposed,24/10/2022,Perch,M,0.109,2.7,0.1,0.7,0.5,0.6
57,146,Exposed,24/10/2022,Perch,L,0.101,43.1,0.2,14.3,4.4,6
57,147,Exposed,24/10/2022,Perch,B,0.122,8.2,0.2,7.9,5.2,8.5
58,148,Exposed,24/10/2022,Perch,M,0.096,1.2,<LOQ,0.5,0.3,0.4
58,149,Exposed,24/10/2022,Perch,L,0.122,30.3,<LOQ,11,4.5,5.2
58,150,Exposed,24/10/2022,Perch,B,0.151,5.5,0.1,5.5,5.1,7.2
59,151,Exposed,24/10/2022,Perch,M,0.092,1,0,1.3,0.6,0.6
59,152,Exposed,24/10/2022,Perch,L,0.105,31.9,0.3,43.1,12.7,15.7
59,153,Exposed,24/10/2022,Perch,B,0.117,10.5,0.2,23.1,11.8,14.4
60,154,Exposed,24/10/2022,Roach,M,0.113,1.1,0.1,1.6,0.4,0.4
60,155,Exposed,24/10/2022,Roach,B,0.112,1.3,<LOQ,11.2,4.3,5
61,157,Exposed,24/10/2022,Roach,B,0.119,2.4,<LOQ,10.7,6.8,6.4
62,158,Exposed,24/10/2022,Roach,M,0.115,0.6,<LOQ,1.9,0.5,0.6
62,159,Exposed,24/10/2022,Roach,B,0.087,1.6,<LOQ,13.3,5.5,7.2
63,160,Exposed,24/10/2022,Roach,M,0.101,0.9,<LOQ,1.8,0.7,0.7
63,161,Exposed,24/10/2022,Roach,B,0.122,1.4,<LOQ,8.5,5.3,5.6
64,162,Exposed,24/10/2022,Roach,M,0.107,0.8,<LOQ,1,0.6,0.6
64,163,Exposed,24/10/2022,Roach,B,0.117,2,<LOQ,4.4,3.9,4
