"Prey_ID","Pike_ID","Date","Species","encounter_count_high_conf","encounter_count_probable","encounter_count_possible","daily_avg_dist","daily_min_dist"
"F59817","F59897",2022-10-06,"Roach",6,80,217,19.8451728733382,1.89168994059107
"F59817","F59897",2022-10-07,"Roach",2,65,189,24.8115632622564,1.88700586200381
"F59817","F59897",2022-10-08,"Roach",4,15,136,25.6992605252207,2.17440454313462
"F59817","F59897",2022-10-09,"Roach",0,10,47,25.9281448397371,5.13413913568237
"F59817","F59897",2022-10-10,"Roach",1,9,59,23.772107034968,2.79237120847238
"F59817","F59897",2022-10-11,"Roach",5,40,129,25.7161969943691,2.3966388539461
"F59817","F59897",2022-10-12,"Roach",2,9,83,19.3543083443453,2.80476294031622
"F59817","F59897",2022-10-13,"Roach",27,111,275,16.7709322994249,0.8017448395747
"F59817","F59897",2022-10-14,"Roach",42,96,66,16.3973174013345,1.09345611733032
"F59817","F59897",2022-10-15,"Roach",40,169,595,16.8022619917561,0.929194250265431
"F59817","F59897",2022-10-16,"Roach",8,47,81,19.439533082992,0.984391489242576
"F59817","F59897",2022-10-17,"Roach",8,15,73,14.8733151252748,1.89230904598047
"F59817","F59897",2022-10-18,"Roach",3,6,35,16.832124289197,1.77840836343879
"F59817","F59897",2022-10-19,"Roach",141,354,289,12.5096135647021,1.18609262044173
"F59817","F59897",2022-10-20,"Roach",117,58,27,16.3959386379661,1.763617483537
"F59817","F59897",2022-10-21,"Roach",0,0,15,18.5142660935159,6.50471031846465
"F59817","F59897",2022-10-22,"Roach",3,15,21,21.4495628152561,2.30196506289992
"F59817","F59897",2022-10-23,"Roach",8,141,217,9.26056715947057,0.897842342320413
"F59817","F59897",2022-10-24,"Roach",0,13,51,21.8380917380742,3.22786919183153
"F59817","F59897",2022-10-25,"Roach",0,0,4,23.4611106614692,7.98604345807016
"F59817","F59897",2022-10-26,"Roach",3,10,72,11.0563741952337,2.54385160004156
"F59817","F59897",2022-10-27,"Roach",3,23,30,11.2212542108112,1.93689313966362
"F59817","F59897",2022-10-28,"Roach",2,18,55,16.1446711073818,1.96151833122094
"F59817","F59897",2022-10-29,"Roach",0,0,4,26.4878340066848,7.27331446141648
"F59817","F59897",2022-10-30,"Roach",7,44,62,11.5600628677956,2.29855870099927
"F59817","F59898",2022-09-27,"Roach",0,112,320,16.5387767832401,4.14230682112296
"F59817","F59898",2022-09-28,"Roach",11,30,68,23.9872827337971,1.11626241841081
"F59817","F59898",2022-09-29,"Roach",1,16,32,29.8303648116981,0.988765698471676
"F59817","F59898",2022-09-30,"Roach",0,4,11,31.5810107606543,4.25633679062514
"F59817","F59898",2022-10-01,"Roach",0,49,75,24.5722776083791,3.35426991805532
"F59817","F59898",2022-10-02,"Roach",4,22,95,15.0679844435678,2.64535432936398
"F59817","F59898",2022-10-03,"Roach",44,625,584,17.6059050928811,2.8089271360495
"F59817","F59898",2022-10-04,"Roach",0,20,64,34.6587248925914,3.95499588447093
"F59817","F59898",2022-10-05,"Roach",4,58,143,32.5633195050853,1.86095024813795
"F59817","F59898",2022-10-06,"Roach",23,151,163,30.1915056463645,1.45266930764993
"F59817","F59898",2022-10-07,"Roach",93,135,149,21.8228274862308,1.01137933653301
"F59817","F59898",2022-10-08,"Roach",102,316,523,16.9119985527434,0.816034016321622
"F59817","F59898",2022-10-09,"Roach",95,263,278,21.9658587037632,1.40430752603524
"F59817","F59898",2022-10-10,"Roach",8,215,668,14.7606611298238,2.09150236527677
"F59817","F59898",2022-10-11,"Roach",0,153,574,14.6831283782563,3.73660269129226
"F59817","F59898",2022-10-12,"Roach",19,631,575,10.6332269289747,1.43478450042554
"F59817","F59898",2022-10-13,"Roach",6,82,255,23.0149746899404,1.36126573885131
"F59817","F59898",2022-10-14,"Roach",14,67,397,25.2248722604405,1.31069997525874
"F59817","F59898",2022-10-15,"Roach",64,200,130,25.1676785287527,1.46636376083363
"F59817","F59898",2022-10-16,"Roach",38,151,234,13.3883166894637,1.20003309166952
"F59817","F59898",2022-10-17,"Roach",18,36,191,15.9886582395858,1.2291063567913
"F59817","F59898",2022-10-18,"Roach",0,2,46,15.4098025240442,5.34251249591648
"F59817","F59898",2022-10-19,"Roach",0,4,104,26.7247829998673,5.37299970865335
"F59817","F59898",2022-10-20,"Roach",0,1,49,22.561916173651,5.92318646736984
"F59817","F59898",2022-10-21,"Roach",0,42,77,16.8807298508846,3.48447247958553
"F59817","F59898",2022-10-22,"Roach",4,16,49,16.3893797763847,2.00349629112401
"F59817","F59898",2022-10-23,"Roach",7,75,43,13.639401755212,1.95024492574526
"F59817","F59898",2022-10-24,"Roach",0,0,6,14.1222010172504,8.63491738550537
"F59817","F59898",2022-10-25,"Roach",0,0,9,15.5797356998514,7.28656748864199
"F59817","F59898",2022-10-26,"Roach",0,11,39,19.9008401884973,3.31061947868378
"F59817","F59898",2022-10-27,"Roach",1,2,13,20.3781563954683,2.67008422839907
"F59817","F59898",2022-10-28,"Roach",11,28,63,17.9932301921214,1.71605656327954
"F59817","F59898",2022-10-29,"Roach",0,3,12,22.9823920891542,5.76791797464064
"F59817","F59898",2022-10-30,"Roach",8,25,31,17.8345574483993,1.06026788052022
"F59818","F59894",2022-09-27,"Roach",109,220,481,18.2843683081988,0.658159302280432
"F59818","F59894",2022-09-28,"Roach",62,238,204,21.6132900591411,0.58474483752606
"F59818","F59894",2022-09-29,"Roach",0,3,62,28.3255070013564,5.31871944728528
"F59818","F59894",2022-09-30,"Roach",47,254,320,25.1831406049177,1.10441139713428
"F59818","F59894",2022-10-01,"Roach",0,14,53,36.1504266510292,3.47753563226528
"F59818","F59894",2022-10-02,"Roach",79,147,174,22.6368386824572,0.682611564582835
"F59818","F59894",2022-10-03,"Roach",0,17,34,24.7396769014888,3.76170978427642
"F59818","F59894",2022-10-04,"Roach",1,9,196,18.1012785887949,1.92093773750122
"F59818","F59894",2022-10-05,"Roach",0,39,23,27.0168388677027,3.17202189982501
"F59818","F59894",2022-10-06,"Roach",15,153,199,26.0072351809515,2.4327952712253
"F59818","F59894",2022-10-07,"Roach",61,313,502,14.1086366444107,1.01912205644285
"F59818","F59894",2022-10-08,"Roach",0,0,7,18.0747102601071,6.06624098829355
"F59818","F59894",2022-10-09,"Roach",0,38,67,21.1170135285532,3.68038966613921
"F59818","F59894",2022-10-10,"Roach",71,207,444,12.3432048243188,1.29157207101832
"F59818","F59894",2022-10-11,"Roach",2,18,239,16.1707048953067,1.56879454813
"F59818","F59894",2022-10-12,"Roach",41,82,337,17.8489301435434,1.48771218255506
"F59818","F59894",2022-10-13,"Roach",1,12,40,26.8858126295403,1.90936814811429
"F59818","F59894",2022-10-14,"Roach",0,54,118,15.4789127757056,3.14490435321377
"F59818","F59894",2022-10-15,"Roach",0,10,364,17.6152888192866,5.21753642725601
"F59818","F59894",2022-10-16,"Roach",0,2,51,19.6848705432261,5.32965178753554
"F59818","F59894",2022-10-17,"Roach",1,72,210,15.9158793548272,2.37085104328234
"F59818","F59894",2022-10-18,"Roach",20,67,266,16.5154885124369,0.890246155190133
"F59818","F59894",2022-10-19,"Roach",0,0,53,17.416742637927,6.70604344166072
"F59818","F59894",2022-10-20,"Roach",0,0,32,17.6954575856709,6.35320957964169
"F59818","F59894",2022-10-21,"Roach",2,4,7,18.8535253332318,2.32250814747485
"F59818","F59894",2022-10-22,"Roach",0,2,9,22.0838603381683,4.68025027189148
"F59818","F59894",2022-10-23,"Roach",0,0,0,20.1986454480404,13.8071796928708
"F59818","F59894",2022-10-24,"Roach",0,3,31,16.3686003711869,5.15209298637767
"F59818","F59894",2022-10-25,"Roach",0,0,1,22.9107163099751,8.89938751806603
"F59818","F59894",2022-10-26,"Roach",4,15,14,23.5436344418248,2.34127852540845
"F59818","F59894",2022-10-27,"Roach",0,0,0,22.2828622692138,12.5068359991235
"F59818","F59894",2022-10-28,"Roach",0,0,23,15.6929804701269,6.13693987302934
"F59818","F59894",2022-10-29,"Roach",0,1,14,18.5024657443946,5.87421452131426
"F59818","F59894",2022-10-30,"Roach",4,29,57,15.4488556053462,1.68273945901738
"F59818","F59895",2022-09-27,"Roach",85,651,835,12.0476232319599,0.942313252944248
"F59818","F59895",2022-09-28,"Roach",0,0,0,32.996622849232,11.0107936807097
"F59818","F59895",2022-09-29,"Roach",7,102,596,31.4411920077038,1.78629908898429
"F59818","F59895",2022-09-30,"Roach",7,60,101,26.6142827887217,1.2779026472643
"F59818","F59895",2022-10-01,"Roach",37,210,287,19.2937347504449,1.08572058101527
"F59818","F59895",2022-10-02,"Roach",45,215,383,22.9390661776815,1.59130257447471
"F59818","F59895",2022-10-03,"Roach",2,42,113,24.3587433610382,2.15229870352174
"F59818","F59895",2022-10-04,"Roach",2,34,169,23.3615410426964,2.24401749204972
"F59818","F59895",2022-10-05,"Roach",0,14,100,26.8754735032227,3.55653904577436
"F59818","F59895",2022-10-06,"Roach",27,303,224,30.1945413445546,1.87865065606258
"F59818","F59895",2022-10-07,"Roach",82,123,166,20.0929859695958,1.31820801309828
