"Prey_ID","Pred_ID","Species","total_encounters_high_conf","total_encounters_probable","total_encounters_possible","min_distance","mean_distance","n_days","n_days_high_conf","n_days_probable"
"F59830","F59894","Roach",470,2463,3975,0.348178038753596,18.2486880318254,34,15,25
"F59817","F59897","Roach",462,1757,3488,0.8017448395747,22.5907648774588,34,23,29
"F59837","F59895","Roach",460,3260,5134,0.913415835355606,21.7649312199953,33,20,32
"F59822","F59894","Roach",459,1970,4070,0.749029999619644,20.0894336178894,34,11,22
"F59829","F59895","Roach",454,2795,4271,0.783915830298996,22.4977179746476,33,20,29
"F59835","F59895","Roach",450,2709,6326,0.854635986383751,18.2942270068501,33,24,32
"F59836","F59898","Roach",434,3015,5656,0.702480628125753,20.8211383488506,34,27,32
"F59821","F59898","Roach",430,1956,4229,0.788995689810454,22.8553126291604,34,22,31
"F59821","F59895","Roach",425,3339,6123,0.821713852346113,20.2528442246946,33,22,30
"F59830","F59895","Roach",418,3514,5419,0.68903954890883,20.0513049520425,33,23,30
"F59823","F59894","Roach",409,1805,3001,0.553058094405542,21.0909630868908,34,12,21
"F59834","F59895","Roach",406,3032,6740,1.05054061301697,19.5702941250148,33,19,28
"F59818","F59895","Roach",396,3187,5598,0.942313252944248,22.1288268603696,33,19,29
"F59826","F59895","Roach",394,2270,3880,0.723423033162539,22.0868069934039,33,23,27
"F59831","F59895","Roach",393,2488,4706,0.807379915846964,20.7547509596068,33,26,32
"F59837","F59894","Roach",387,1835,3884,0.536683786058113,21.3804319332493,34,17,25
"F59820","F59897","Roach",384,2393,3655,0.523143065151091,21.5517007669941,34,19,27
"F59836","F59894","Roach",374,1904,4090,0.565756896565816,18.9328629808687,34,16,24
"F59825","F59894","Roach",359,1659,4584,0.522199866655942,19.5982506815289,34,15,24
"F59834","F59898","Roach",358,2414,4035,0.738046817982524,21.9117493056891,34,21,30
"F59825","F59895","Roach",356,2504,6654,0.70954820211238,20.4031761351526,33,23,29
"F59837","F59898","Roach",352,2154,3719,0.582985021139894,26.4525140555159,34,28,33
"F59818","F59897","Roach",347,2396,5280,0.779344774423018,24.388171822281,34,23,30
"F59822","F59897","Roach",345,2057,7479,0.758869598946012,19.7175692606975,34,22,30
"F59831","F59894","Roach",338,1421,3475,0.445631989066127,19.6569157263352,34,18,25
"F59817","F59894","Roach",332,1417,3921,0.783781053835689,19.3605525589773,34,16,22
"F59823","F59895","Roach",320,2294,4513,0.747344850932875,21.1518633079868,33,17,26
"F59830","F59897","Roach",314,3709,5274,0.667671645482138,17.8729335040614,34,22,31
"F59833","F59898","Roach",305,2109,5636,0.504222492526843,20.8114593512897,34,23,33
"F59836","F59897","Roach",290,2193,3608,0.795540205940677,20.7176876202202,34,21,32
"F59820","F59895","Roach",286,2332,5397,0.941716467031445,21.094528305462,33,16,30
"F59825","F59897","Roach",281,1731,3333,0.966013943115582,20.9584060664005,34,23,29
"F59829","F59897","Roach",268,1129,2979,0.609524463488903,22.9728857663744,34,20,30
"F59831","F59897","Roach",256,2142,5558,0.855597335023707,20.3778833386514,34,24,30
"F59821","F59894","Roach",245,1597,4264,0.703862503037626,19.4420583710554,34,15,25
"F59828","F59895","Roach",242,1730,3457,1.05462091241261,24.0620706688172,31,16,20
"F59828","F59897","Roach",186,1253,3317,1.36923590900827,22.5440291315652,31,15,24
"F59823","F59897","Roach",113,787,2354,0.638246849905244,23.1431311574148,34,18,25
"F59838","F59898","Perch",2626,5575,5861,0.497476349714759,15.6838629194702,34,21,27
"F59839","F59898","Perch",2501,4924,7869,0.615413136311319,15.230257603149,34,29,34
"F59842","F59898","Perch",2349,3960,2669,0.708422682263086,22.8991239359898,33,16,18
"F59871","F59898","Perch",2057,7007,7620,0.872713560693517,13.8843193204622,34,27,31
"F59854","F59898","Perch",1884,5587,5499,0.758461939046096,15.2025689751504,34,13,24
"F59859","F59898","Perch",1757,5165,6000,0.661612580727612,15.0967672002022,34,23,28
"F59865","F59898","Perch",1344,7341,8548,0.572970025575893,15.3440249345961,34,28,33
"F59840","F59896","Perch",1183,2767,6513,0.620933004955997,16.5136592206763,33,19,22
"F59861","F59898","Perch",1176,3242,2679,0.679790528789657,20.1537061633522,34,15,20
"F59874","F59898","Perch",1100,5491,6031,0.662773518501931,17.6854821880745,34,27,32
"F59861","F59895","Perch",1081,2426,2794,0.631066060190768,20.8394083270283,33,20,25
"F59861","F59896","Perch",962,5023,6557,0.620449226804865,18.6482928665751,33,14,24
"F59868","F59898","Perch",953,5179,7442,0.679858197222114,14.2627384222793,34,25,31
"F59872","F59898","Perch",928,5540,2584,0.645427236608674,19.8384394274471,34,21,31
"F59875","F59897","Perch",864,1370,2530,0.897504533449227,24.1180489974123,34,15,23
"F59839","F59896","Perch",853,2537,3384,0.614814554265055,19.4606224993274,34,21,23
"F59864","F59898","Perch",778,4040,5314,0.996572091338604,18.7897608274823,34,18,30
